Time,ID,Data
1030000000.04868 ,4.00E+07,1.30E+04
1030000000.14870 ,4.00E+07,1.30E+04
1030000000.24919 ,4.00E+07,1.30E+04
1030000000.34873 ,4.00E+07,1.30E+04
1030000000.44867 ,4.00E+07,1.30E+04
1030000000.54867 ,4.00E+07,1.30E+04
1030000000.64916 ,4.00E+07,1.30E+04
1030000000.74867 ,4.00E+07,1.30E+04
1030000000.84917 ,4.00E+07,1.30E+04
1030000000.94864 ,4.00E+07,1.30E+04
1030000001.04882 ,4.00E+07,1.30E+04
1030000001.14876 ,4.00E+07,1.30E+04
1030000001.24918 ,4.00E+07,1.30E+04
1030000001.34862 ,4.00E+07,1.30E+04
1030000001.44861 ,4.00E+07,1.30E+04
1030000001.54862 ,4.00E+07,1.30E+04
1030000001.64861 ,4.00E+07,1.30E+04
1030000001.74921 ,4.00E+07,1.30E+04
1030000001.84861 ,4.00E+07,1.30E+04
1030000001.94859 ,4.00E+07,1.30E+04
1030000002.04924 ,4.00E+07,1.30E+04
1030000002.14859 ,4.00E+07,1.30E+04
1030000002.24923 ,4.00E+07,1.30E+04
1030000002.34859 ,4.00E+07,1.30E+04
1030000002.44860 ,4.00E+07,1.30E+04
1030000002.54861 ,4.00E+07,1.30E+04
1030000002.64862 ,4.00E+07,1.30E+04
1030000002.74860 ,4.00E+07,1.30E+04
1030000002.84861 ,4.00E+07,1.30E+04
1030000002.94854 ,4.00E+07,1.30E+04
1030000003.04861 ,4.00E+07,1.30E+04
1030000003.14858 ,4.00E+07,1.30E+04
1030000003.24845 ,4.00E+07,1.30E+04
1030000003.34854 ,4.00E+07,1.30E+04
1030000003.44932 ,4.00E+07,1.30E+04
1030000003.54859 ,4.00E+07,1.30E+04
1030000003.64854 ,4.00E+07,1.30E+04
1030000003.74854 ,4.00E+07,1.30E+04
1030000003.84918 ,4.00E+07,1.30E+04
1030000003.94854 ,4.00E+07,1.30E+04
1030000004.04921 ,4.00E+07,1.30E+04
1030000004.14852 ,4.00E+07,1.30E+04
1030000004.24881 ,4.00E+07,1.30E+04
1030000004.34869 ,4.00E+07,1.30E+04
1030000004.44863 ,4.00E+07,1.30E+04
1030000004.54954 ,4.00E+07,1.30E+04
1030000004.64863 ,4.00E+07,1.30E+04
1030000004.74863 ,4.00E+07,1.30E+04
1030000004.84867 ,4.00E+07,1.30E+04
1030000004.94854 ,4.00E+07,1.30E+04
1030000005.04863 ,4.00E+07,1.30E+04
1030000005.14852 ,4.00E+07,1.30E+04
1030000005.24940 ,4.00E+07,1.30E+04
1030000005.34927 ,4.00E+07,1.30E+04
1030000005.44864 ,4.00E+07,1.30E+04
1030000005.54931 ,4.00E+07,1.30E+04
1030000005.64856 ,4.00E+07,1.30E+04
1030000005.74951 ,4.00E+07,1.30E+04
1030000005.84851 ,4.00E+07,1.30E+04
1030000005.94958 ,4.00E+07,1.30E+04
1030000006.04846 ,4.00E+07,1.30E+04
1030000006.14952 ,4.00E+07,1.30E+04
1030000006.24843 ,4.00E+07,1.30E+04
1030000006.34953 ,4.00E+07,1.30E+04
1030000006.44851 ,4.00E+07,1.30E+04
1030000006.54952 ,4.00E+07,1.30E+04
1030000006.64949 ,4.00E+07,1.30E+04
1030000006.74947 ,4.00E+07,1.30E+04
1030000006.84945 ,4.00E+07,1.30E+04
1030000006.94945 ,4.00E+07,1.30E+04
1030000007.04846 ,4.00E+07,1.30E+04
1030000007.14864 ,4.00E+07,1.30E+04
1030000007.24841 ,4.00E+07,1.30E+04
1030000007.34936 ,4.00E+07,1.30E+04
1030000007.44845 ,4.00E+07,1.30E+04
1030000007.54943 ,4.00E+07,1.30E+04
1030000007.64943 ,4.00E+07,1.30E+04
1030000007.74947 ,4.00E+07,1.30E+04
1030000007.84941 ,4.00E+07,1.30E+04
1030000007.94943 ,4.00E+07,1.30E+04
1030000008.04943 ,4.00E+07,1.30E+04
1030000008.14945 ,4.00E+07,1.30E+04
1030000008.24941 ,4.00E+07,1.30E+04
1030000008.34941 ,4.00E+07,1.30E+04
1030000008.44846 ,4.00E+07,1.30E+04
1030000008.54841 ,4.00E+07,1.30E+04
1030000008.64943 ,4.00E+07,1.30E+04
1030000008.74842 ,4.00E+07,1.30E+04
1030000008.84944 ,4.00E+07,1.30E+04
1030000008.94939 ,4.00E+07,1.30E+04
1030000009.04939 ,4.00E+07,1.30E+04
1030000009.14937 ,4.00E+07,1.30E+04
1030000009.24947 ,4.00E+07,1.30E+04
1030000009.34937 ,4.00E+07,1.30E+04
1030000009.44941 ,4.00E+07,1.30E+04
1030000009.54841 ,4.00E+07,1.30E+04
1030000009.64944 ,4.00E+07,1.30E+04
1030000009.74942 ,4.00E+07,1.30E+04
1030000009.84939 ,4.00E+07,1.30E+04
1030000009.94935 ,4.00E+07,1.30E+04
1030000010.04939 ,4.00E+07,1.30E+04
1030000010.14836 ,4.00E+07,1.30E+04
1030000010.24940 ,4.00E+07,1.30E+04
1030000010.34838 ,4.00E+07,1.30E+04
1030000010.44840 ,4.00E+07,1.30E+04
1030000010.54933 ,4.00E+07,1.30E+04
1030000010.64838 ,4.00E+07,1.30E+04
1030000010.74846 ,4.00E+07,1.30E+04
1030000010.84851 ,4.00E+07,1.30E+04
1030000010.94845 ,4.00E+07,1.30E+04
1030000011.04840 ,4.00E+07,1.30E+04
1030000011.14929 ,4.00E+07,1.30E+04
1030000011.24843 ,4.00E+07,1.30E+04
1030000011.34843 ,4.00E+07,1.30E+04
1030000011.44924 ,4.00E+07,1.30E+04
1030000011.54930 ,4.00E+07,1.30E+04
1030000011.64924 ,4.00E+07,1.30E+04
1030000011.74946 ,4.00E+07,1.30E+04
1030000011.84855 ,4.00E+07,1.30E+04
1030000011.94945 ,4.00E+07,1.30E+04
1030000012.04943 ,4.00E+07,1.30E+04
1030000012.14841 ,4.00E+07,1.30E+04
1030000012.24945 ,4.00E+07,1.30E+04
1030000012.34947 ,4.00E+07,1.30E+04
1030000012.44942 ,4.00E+07,1.30E+04
1030000012.54843 ,4.00E+07,1.30E+04
